didnt look;1.0;0.64

sh;1.0;0.67

Lightning;1.0;0.73

;1.0;0.73
Test1;1.0;0.83

1324546;1.0;0.85

0;1.0;0.93

Jeffy;1.0;1.22

Lucky luke;1.0;1.48

123;1.0;1.49

